source ,url ,description 
Registry of Open Data on AWS ,https://registry.opendata.aws/ ,AWS registry enables discovery and sharing of datasets that are available via AWS resources. 
Awesome Data (github) ,https://github.com/awesomedata/awesome-public-datasets ,"List of high quality, topic-centric public data sources. "
DBpedia Datasets ,https://wiki.dbpedia.org/develop/datasets ,"DBpedia allows one to make sophisticated queries against Wikipedia, and link to other data sets on the Web to Wikipedia data.  "
Google Dataset Search ,https://datasetsearch.research.google.com/ ,Dataset Search enables users to find datasets stored across the Web through a simple keyword search. 
Google Books Ngram Viewer ,https://books.google.com/ngrams ,Graph(s) showing how phrases have occurred in a corpus of books over selected years. 
Google Public Data Explorer ,https://www.google.com/publicdata/directory ,Google public data source repository; provides interactive visualization interface for exploring datasets. 
Kaggle Datasets ,https://www.kaggle.com/datasets ,"Variety of dataset publication formats, emphasizing accessible, non-proprietary formats if possible, open, accessible data, easier to work with for more people regardless of their tools. "
Open Knowledge Foundation (OKN) Data Portals ,http://dataportals.org/ ,Comprehensive list of open data portals from around the world. 
Open Data World Map ,https://www.google.com/maps/d/viewer?mid=zYHRQhGn4ft0.kEXL2yiQZF-g&hl=en ,"Google map presenting links to global open data resources for cities, regions, countries, and continents. "
Statistical Sites on the Web (BLS) ,https://www.bls.gov/bls/other.htm ,Links to non-BLS Internet sites are provided for convenience. 
